,acquisition,path,Session,CC,Subject,GC,MI,Processing
1,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.479532,4001,-0.593193,-0.207068,Legacy
2,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.541476,4001,-0.682685,-0.225519,Legacy
3,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.535942,4001,-0.575248,-0.193644,Legacy
4,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.613732,4001,-0.778393,-0.272586,Legacy
5,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.45333,4001,-0.556769,-0.1835,Legacy
6,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.642963,4001,-0.685594,-0.187104,Legacy
7,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.593542,4001,-0.608146,-0.194693,Legacy
8,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.57953,4002,-0.672973,-0.2219,Legacy
9,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.459535,4002,-0.569534,-0.19317,Legacy
10,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4004/ses-ofM/func/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.641083,4004,-0.774721,-0.287032,Legacy
11,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4004/ses-ofM/func/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.465555,4004,-0.570716,-0.194593,Legacy
12,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.680082,4005,-0.779537,-0.277731,Legacy
13,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.640136,4005,-0.567119,-0.187313,Legacy
14,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.692432,4005,-0.774322,-0.273254,Legacy
15,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.488957,4005,-0.61158,-0.202869,Legacy
16,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4006/ses-ofM/func/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.562518,4006,-0.657015,-0.217839,Legacy
17,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4006/ses-ofM/func/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.524292,4006,-0.601431,-0.200488,Legacy
18,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4007/ses-ofM/func/sub-4007_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.633469,4007,-0.791892,-0.273301,Legacy
19,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4007/ses-ofM/func/sub-4007_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.518959,4007,-0.63895,-0.228111,Legacy
20,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.745673,4007,-0.781031,-0.290755,Legacy
21,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.471698,4007,-0.578689,-0.189639,Legacy
22,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4007/ses-ofMcF1/func/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.615738,4007,-0.79901,-0.318714,Legacy
